tempo,valor
01/01/2014,56.52
01/01/2014,53.38
01/01/2014,50.24
01/01/2014,53.38
01/01/2014,50.24
01/01/2014,53.38
01/01/2014,48.67
01/01/2014,48.67
01/01/2014,50.24
01/01/2014,48.67
01/01/2014,48.67
01/01/2014,50.24
01/01/2014,48.67
01/01/2014,45.53
01/01/2014,50.24
01/01/2014,47.1
01/01/2014,47.1
01/01/2014,47.1
01/01/2014,42.39
01/01/2014,40.82
01/01/2014,43.96
01/01/2014,28.26
01/01/2014,31.4
01/01/2014,29.83
01/01/2014,28.26
01/01/2014,26.69
01/01/2014,31.4
02/01/2014,28.26
02/01/2014,28.26
02/01/2014,29.83
02/01/2014,28.26
02/01/2014,31.4
02/01/2014,32.97
02/01/2014,28.26
02/01/2014,29.83
02/01/2014,26.69
02/01/2014,26.69
02/01/2014,28.26
02/01/2014,29.83
02/01/2014,28.26
02/01/2014,28.26
02/01/2014,29.83
02/01/2014,31.4
02/01/2014,28.26
02/01/2014,31.4
02/01/2014,31.4
02/01/2014,28.26
02/01/2014,28.26
02/01/2014,29.83
02/01/2014,29.83
02/01/2014,31.4
02/01/2014,29.83
02/01/2014,28.26
02/01/2014,29.83
02/01/2014,36.11
02/01/2014,39.25
02/01/2014,39.25
02/01/2014,40.82
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,32.97
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,36.11
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,40.82
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,40.82
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,36.11
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,36.11
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,40.82
03/01/2014,36.11
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,40.82
03/01/2014,36.11
03/01/2014,39.25
03/01/2014,36.11
03/01/2014,37.68
03/01/2014,40.82
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,36.11
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
03/01/2014,37.68
03/01/2014,37.68
03/01/2014,39.25
03/01/2014,39.25
