temperaturaminima,temperaturamaxima,umidade,precipitacao,TempoConcetracao,vento,label
26.0,27.6,61.0,0.0,0.0,3.2,0
26.0,27.6,61.0,0.0,0.0,3.2,0
26.0,27.6,61.0,0.0,0.0,3.2,0
26.0,27.6,61.0,0.0,0.0,3.2,0
26.0,27.6,61.0,0.0,0.0,3.2,0
26.0,27.6,61.0,0.0,0.0,3.2,0
26.0,27.6,61.0,0.0,0.0,3.2,0
26.9,28.3,53.0,0.0,0.0,3.6,0
26.9,28.3,53.0,0.0,0.0,3.6,0
26.9,28.3,53.0,0.0,0.0,3.6,0
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
26.9,28.3,53.0,0.0,0.0,3.6,1
24.2,28.5,72.0,0.0,0.0,1.4,1
27.4,28.8,60.0,0.0,0.0,1.8,0
27.4,28.8,60.0,0.0,0.0,1.8,0
27.4,28.8,60.0,0.0,0.0,1.8,0
27.4,28.8,60.0,0.0,0.0,1.8,0
27.4,28.8,60.0,0.0,0.0,1.8,0
26.1,27.4,67.0,0.0,0.0,0.4,0
26.1,27.4,67.0,0.0,0.0,0.4,0
26.1,27.4,67.0,0.0,0.0,0.4,0
26.1,27.4,67.0,0.0,0.0,0.4,0
26.1,27.4,67.0,0.0,0.0,0.4,0
26.1,27.4,67.0,0.0,0.0,0.4,0
26.1,27.4,67.0,0.0,0.0,0.4,0
26.1,27.4,67.0,0.0,0.0,0.4,1
26.1,27.4,67.0,0.0,0.0,0.4,1
26.1,27.4,67.0,0.0,0.0,0.4,1
26.1,27.4,67.0,0.0,0.0,0.4,1
26.1,27.4,67.0,0.0,0.0,0.4,1
25.4,26.4,65.0,0.0,0.0,1.4,1
