tempo,umidade
06/11/14 00:00,86.00
06/11/14 01:00,85.00
06/11/14 02:00,85.00
06/11/14 03:00,86.00
06/11/14 04:00,88.00
06/11/14 05:00,88.00
06/11/14 06:00,89.00
06/11/14 07:00,89.00
06/11/14 08:00,89.00
06/11/14 09:00,88.00
06/11/14 10:00,85.00
06/11/14 11:00,73.00
06/11/14 12:00,66.00
06/11/14 13:00,59.00
06/11/14 14:00,56.00
06/11/14 15:00,56.00
06/11/14 16:00,50.00
06/11/14 17:00,47.00
06/11/14 18:00,48.00
06/11/14 19:00,43.00
06/11/14 20:00,53.00
06/11/14 21:00,79.00
06/11/14 22:00,67.00
06/11/14 23:00,71.00
07/11/14 00:00,75.00
07/11/14 01:00,80.00
07/11/14 02:00,83.00
07/11/14 03:00,80.00
07/11/14 04:00,85.00
07/11/14 05:00,83.00
07/11/14 06:00,84.00
07/11/14 07:00,82.00
07/11/14 08:00,83.00
07/11/14 09:00,81.00
07/11/14 10:00,79.00
07/11/14 11:00,67.00
07/11/14 12:00,69.00
07/11/14 13:00,60.00
07/11/14 14:00,58.00
07/11/14 15:00,50.00
07/11/14 16:00,51.00
07/11/14 17:00,52.00
07/11/14 18:00,55.00
07/11/14 19:00,53.00
07/11/14 20:00,52.00
07/11/14 21:00,55.00
07/11/14 22:00,67.00
07/11/14 23:00,71.00
08/11/14 00:00,71.00
08/11/14 01:00,74.00
08/11/14 02:00,79.00
08/11/14 03:00,93.00
08/11/14 04:00,94.00
08/11/14 05:00,94.00
08/11/14 06:00,94.00
08/11/14 07:00,95.00
08/11/14 08:00,95.00
08/11/14 09:00,95.00
08/11/14 10:00,95.00
08/11/14 11:00,86.00
08/11/14 12:00,75.00
08/11/14 13:00,71.00
08/11/14 14:00,70.00
08/11/14 15:00,66.00
08/11/14 16:00,62.00
08/11/14 17:00,61.00
08/11/14 18:00,58.00
08/11/14 19:00,62.00
08/11/14 20:00,64.00
08/11/14 21:00,69.00
08/11/14 22:00,75.00
08/11/14 23:00,79.00
09/11/14 00:00,81.00
09/11/14 01:00,82.00
09/11/14 02:00,85.00
09/11/14 03:00,88.00
09/11/14 04:00,87.00
09/11/14 05:00,88.00
09/11/14 06:00,89.00
09/11/14 07:00,89.00
09/11/14 08:00,89.00
09/11/14 09:00,88.00
09/11/14 10:00,81.00
09/11/14 11:00,74.00
