tempo,vento
06/11/14 11:00,2.60
06/11/14 12:00,4.50
06/11/14 13:00,3.40
06/11/14 14:00,4.50
06/11/14 15:00,2.70
06/11/14 16:00,1.70
06/11/14 17:00,2.10
06/11/14 18:00,1.30
06/11/14 19:00,1.80
06/11/14 20:00,4.40
06/11/14 21:00,0.90
06/11/14 22:00,3.30
06/11/14 23:00,2.30
07/11/14 00:00,1.40
07/11/14 01:00,1.20
07/11/14 02:00,0.50
07/11/14 03:00,1.70
07/11/14 04:00,1.80
07/11/14 05:00,2.40
07/11/14 06:00,1.90
07/11/14 07:00,1.60
07/11/14 08:00,1.80
07/11/14 09:00,3.40
07/11/14 10:00,2.20
07/11/14 11:00,1.80
07/11/14 12:00,2.30
07/11/14 13:00,1.40
07/11/14 14:00,1.70
07/11/14 15:00,2.30
07/11/14 16:00,2.00
07/11/14 17:00,1.80
07/11/14 18:00,1.40
07/11/14 19:00,1.30
07/11/14 20:00,2.30
07/11/14 21:00,1.10
07/11/14 22:00,2.90
07/11/14 23:00,2.90
08/11/14 00:00,1.90
08/11/14 01:00,1.80
08/11/14 02:00,2.40
08/11/14 03:00,1.10
08/11/14 04:00,0.90
08/11/14 05:00,1.80
08/11/14 06:00,2.50
08/11/14 07:00,4.10
08/11/14 08:00,2.00
08/11/14 09:00,2.20
08/11/14 10:00,1.10
08/11/14 11:00,2.80
08/11/14 12:00,2.90
08/11/14 13:00,2.80
08/11/14 14:00,3.50
08/11/14 15:00,4.10
08/11/14 16:00,2.80
08/11/14 17:00,1.90
08/11/14 18:00,3.30
08/11/14 19:00,1.40
08/11/14 20:00,1.20
08/11/14 21:00,1.20
08/11/14 22:00,0.50
08/11/14 23:00,0.20
09/11/14 00:00,0.10
09/11/14 01:00,0.30
09/11/14 02:00,0.40
09/11/14 03:00,0.40
09/11/14 04:00,1.10
09/11/14 05:00,1.20
09/11/14 06:00,2.00
09/11/14 07:00,2.30
09/11/14 08:00,2.70
09/11/14 09:00,1.80
09/11/14 10:00,2.30
09/11/14 11:00,3.00
09/11/14 12:00,2.70
09/11/14 13:00,2.70
09/11/14 14:00,2.30
09/11/14 15:00,2.30
09/11/14 16:00,2.00
09/11/14 17:00,0.90
09/11/14 18:00,1.30
09/11/14 19:00,3.00
09/11/14 20:00,3.50
09/11/14 21:00,3.00
09/11/14 22:00,2.10
09/11/14 23:00,2.30
10/11/14 00:00,3.70
10/11/14 01:00,3.40
10/11/14 02:00,3.60
10/11/14 03:00,3.30
10/11/14 04:00,3.20
10/11/14 05:00,2.30
10/11/14 06:00,2.00
10/11/14 07:00,2.20
10/11/14 08:00,1.30
10/11/14 09:00,0.90
10/11/14 10:00,1.70
10/11/14 11:00,2.30
10/11/14 12:00,1.80
10/11/14 13:00,1.70
10/11/14 14:00,1.70
10/11/14 15:00,1.70
10/11/14 16:00,1.60
10/11/14 17:00,2.10
10/11/14 18:00,1.80
10/11/14 19:00,2.60
10/11/14 20:00,2.80
10/11/14 21:00,3.70
10/11/14 22:00,2.00
10/11/14 23:00,1.70
11/11/14 00:00,2.40
11/11/14 01:00,3.20
11/11/14 02:00,2.20
11/11/14 03:00,2.40
11/11/14 04:00,1.60
11/11/14 05:00,1.60
11/11/14 06:00,1.70
11/11/14 07:00,1.50
11/11/14 08:00,1.40
11/11/14 09:00,1.60
11/11/14 10:00,2.30
11/11/14 11:00,3.40
11/11/14 12:00,3.80
11/11/14 13:00,3.10
11/11/14 14:00,1.90
11/11/14 15:00,2.10
11/11/14 16:00,0.90
11/11/14 17:00,1.80
11/11/14 18:00,1.00
11/11/14 19:00,2.00
11/11/14 20:00,1.00
11/11/14 21:00,0.90
11/11/14 22:00,0.90
11/11/14 23:00,2.40
12/11/14 00:00,2.20
12/11/14 01:00,3.00
12/11/14 02:00,2.90
12/11/14 03:00,1.90
12/11/14 04:00,2.30
12/11/14 05:00,1.30
12/11/14 06:00,1.00
12/11/14 07:00,1.90
12/11/14 08:00,2.20
12/11/14 09:00,0.80
12/11/14 10:00,0.90
12/11/14 11:00,0.40
12/11/14 12:00,1.60
12/11/14 14:00,2.70
12/11/14 15:00,1.50
12/11/14 16:00,1.40
12/11/14 17:00,1.60
