tempo,temperaturaminima,temperaturamaxima
06/11/14 11:00,19.50,22.80
06/11/14 12:00,22.80,25.10
06/11/14 13:00,24.60,26.60
06/11/14 14:00,26.10,27.70
06/11/14 15:00,27.10,28.20
06/11/14 16:00,27.80,30.10
06/11/14 17:00,28.50,30.70
06/11/14 18:00,29.00,31.00
06/11/14 19:00,29.00,31.20
06/11/14 20:00,25.30,30.20
06/11/14 21:00,22.40,25.30
06/11/14 22:00,23.40,24.20
06/11/14 23:00,23.20,24.10
07/11/14 00:00,22.60,23.30
07/11/14 01:00,21.50,22.80
07/11/14 02:00,21.00,21.70
07/11/14 03:00,21.60,22.40
07/11/14 04:00,21.10,21.80
07/11/14 05:00,20.40,21.50
07/11/14 06:00,20.00,20.40
07/11/14 07:00,19.70,20.40
07/11/14 08:00,19.50,20.40
07/11/14 09:00,19.60,20.30
07/11/14 10:00,20.20,21.20
07/11/14 11:00,21.20,23.80
07/11/14 12:00,23.90,25.10
07/11/14 13:00,24.00,27.10
07/11/14 14:00,26.50,28.00
07/11/14 15:00,27.30,29.00
07/11/14 16:00,27.70,28.90
07/11/14 17:00,28.00,29.30
07/11/14 18:00,28.10,29.50
07/11/14 19:00,28.50,29.80
07/11/14 20:00,28.70,29.50
07/11/14 21:00,27.90,28.70
07/11/14 22:00,22.60,27.90
07/11/14 23:00,21.50,22.60
08/11/14 00:00,21.30,21.60
08/11/14 01:00,21.40,21.80
08/11/14 02:00,20.50,21.60
08/11/14 03:00,17.50,21.00
08/11/14 04:00,17.60,18.00
08/11/14 05:00,17.90,18.20
08/11/14 06:00,17.70,18.30
08/11/14 07:00,17.60,17.80
08/11/14 08:00,17.40,17.60
08/11/14 09:00,17.50,17.60
08/11/14 10:00,17.50,18.20
08/11/14 11:00,18.20,19.50
08/11/14 12:00,19.50,21.90
08/11/14 13:00,21.40,23.00
08/11/14 14:00,22.80,23.80
08/11/14 15:00,23.10,24.10
08/11/14 16:00,23.30,24.90
08/11/14 17:00,24.10,25.00
08/11/14 18:00,24.70,26.30
08/11/14 19:00,25.00,26.10
08/11/14 20:00,24.40,25.20
08/11/14 21:00,23.60,24.50
08/11/14 22:00,22.60,23.60
08/11/14 23:00,22.00,22.60
09/11/14 00:00,21.60,22.10
09/11/14 01:00,21.50,21.80
09/11/14 02:00,20.80,21.70
09/11/14 03:00,20.30,20.90
09/11/14 04:00,20.40,20.90
09/11/14 05:00,20.60,20.80
09/11/14 06:00,20.30,20.60
09/11/14 07:00,20.00,20.30
09/11/14 08:00,19.50,20.00
09/11/14 09:00,19.20,19.50
09/11/14 10:00,19.30,20.70
09/11/14 11:00,20.70,22.30
09/11/14 12:00,21.90,23.70
09/11/14 13:00,23.50,25.30
09/11/14 14:00,24.50,26.20
09/11/14 15:00,25.20,26.40
09/11/14 16:00,25.90,27.30
09/11/14 17:00,26.40,27.30
09/11/14 18:00,27.00,29.00
09/11/14 19:00,27.10,28.70
09/11/14 20:00,26.20,27.20
09/11/14 21:00,25.50,26.40
09/11/14 22:00,24.20,25.50
09/11/14 23:00,23.00,24.30
10/11/14 00:00,22.60,23.10
10/11/14 01:00,21.10,22.60
10/11/14 02:00,19.80,21.10
10/11/14 03:00,18.90,19.80
10/11/14 04:00,18.30,18.90
10/11/14 05:00,17.60,18.30
10/11/14 06:00,17.00,17.60
10/11/14 07:00,16.50,17.00
10/11/14 08:00,16.20,16.60
10/11/14 09:00,15.80,16.80
10/11/14 10:00,16.80,19.10
10/11/14 11:00,19.20,21.40
10/11/14 12:00,21.10,23.10
10/11/14 13:00,22.70,25.30
10/11/14 14:00,24.40,26.40
10/11/14 15:00,25.80,27.90
10/11/14 16:00,27.10,28.70
10/11/14 17:00,28.00,29.50
10/11/14 18:00,28.70,30.00
10/11/14 19:00,28.20,29.80
10/11/14 20:00,27.60,28.80
10/11/14 21:00,26.40,27.70
10/11/14 22:00,24.70,26.40
10/11/14 23:00,23.70,24.80
11/11/14 00:00,22.40,23.90
11/11/14 01:00,21.10,22.40
11/11/14 02:00,19.70,21.20
11/11/14 03:00,18.80,19.70
11/11/14 04:00,18.00,18.90
11/11/14 05:00,17.40,18.00
11/11/14 06:00,17.10,17.50
11/11/14 07:00,16.10,17.40
11/11/14 08:00,15.90,16.90
11/11/14 09:00,15.70,17.00
11/11/14 10:00,17.00,21.10
11/11/14 11:00,21.10,23.00
11/11/14 12:00,22.60,24.30
11/11/14 13:00,24.20,26.30
11/11/14 14:00,25.50,27.60
11/11/14 15:00,26.80,28.90
11/11/14 16:00,27.70,29.60
11/11/14 17:00,28.80,30.50
11/11/14 18:00,29.40,30.30
11/11/14 19:00,28.90,30.50
11/11/14 20:00,28.40,30.70
11/11/14 21:00,28.20,29.80
11/11/14 22:00,26.40,28.20
11/11/14 23:00,25.30,26.90
12/11/14 00:00,24.40,25.30
12/11/14 01:00,23.20,24.70
12/11/14 02:00,21.80,23.20
12/11/14 03:00,21.00,21.80
12/11/14 04:00,20.10,21.00
12/11/14 05:00,19.50,20.10
12/11/14 06:00,18.50,19.60
12/11/14 07:00,19.10,20.10
12/11/14 08:00,19.30,20.60
12/11/14 09:00,17.70,19.70
12/11/14 10:00,18.10,20.20
12/11/14 11:00,20.10,20.90
12/11/14 12:00,20.60,23.10
12/11/14 14:00,24.10,25.60
12/11/14 15:00,24.20,25.50
12/11/14 16:00,25.30,26.10
12/11/14 17:00,25.20,26.30
12/11/14 18:00,25.20,26.10
12/11/14 20:00,25.00,25.70
12/11/14 21:00,24.50,25.00
12/11/14 22:00,22.80,24.60
12/11/14 23:00,22.30,22.90
13/11/14 00:00,21.50,22.40
13/11/14 01:00,21.20,22.10
13/11/14 02:00,21.00,21.30
13/11/14 03:00,20.80,21.00
13/11/14 04:00,20.60,21.00
13/11/14 05:00,19.40,20.60
13/11/14 06:00,19.40,19.50
13/11/14 07:00,19.40,19.60
13/11/14 08:00,19.40,19.60
13/11/14 09:00,19.50,19.80
13/11/14 10:00,19.70,20.10
13/11/14 11:00,19.60,20.40
13/11/14 12:00,20.00,21.00
13/11/14 13:00,20.60,22.70
13/11/14 14:00,22.00,24.10
13/11/14 15:00,23.50,25.90
13/11/14 16:00,25.60,27.60
13/11/14 17:00,26.60,28.90
13/11/14 18:00,26.50,28.90
13/11/14 19:00,27.80,29.40
13/11/14 20:00,28.20,28.90
13/11/14 21:00,26.80,28.30
13/11/14 22:00,24.40,26.80
13/11/14 23:00,22.80,24.60
14/11/14 00:00,22.80,23.80
14/11/14 01:00,21.00,22.80
14/11/14 02:00,20.30,21.10
14/11/14 03:00,19.70,20.50
14/11/14 04:00,19.40,19.70
14/11/14 05:00,18.50,19.40
14/11/14 06:00,18.10,18.60
14/11/14 07:00,18.10,18.20
14/11/14 08:00,17.50,18.10
14/11/14 09:00,17.60,17.80
14/11/14 10:00,17.70,19.00
14/11/14 11:00,18.80,20.10
14/11/14 12:00,19.40,20.80
14/11/14 13:00,20.50,22.50
14/11/14 14:00,22.20,23.90
14/11/14 15:00,22.90,24.70
14/11/14 16:00,23.60,25.80
14/11/14 17:00,24.90,27.10
14/11/14 18:00,25.10,27.50
14/11/14 19:00,25.00,26.40
14/11/14 20:00,23.30,25.50
14/11/14 21:00,21.50,23.50
14/11/14 22:00,19.50,21.50
14/11/14 23:00,18.30,19.50
15/11/14 00:00,17.10,18.30
15/11/14 01:00,16.80,17.10
15/11/14 02:00,16.40,16.80
15/11/14 03:00,15.80,16.40
15/11/14 04:00,15.50,15.80
15/11/14 05:00,15.40,15.70
15/11/14 06:00,15.40,15.70
15/11/14 07:00,15.20,15.60
15/11/14 08:00,15.00,15.30
15/11/14 09:00,14.70,15.10
15/11/14 10:00,14.80,17.00
15/11/14 11:00,16.80,19.30
15/11/14 12:00,19.10,21.40
15/11/14 13:00,20.60,22.70
15/11/14 14:00,22.10,24.40
15/11/14 15:00,23.10,25.20
15/11/14 16:00,23.60,26.30
15/11/14 17:00,25.30,26.90
15/11/14 18:00,25.40,26.90
15/11/14 19:00,25.60,27.00
15/11/14 20:00,25.50,27.10
15/11/14 21:00,23.90,25.50
15/11/14 22:00,22.00,23.90
15/11/14 23:00,20.30,22.00
16/11/14 00:00,18.50,20.30
16/11/14 01:00,17.40,18.50
16/11/14 02:00,16.50,17.40
16/11/14 03:00,16.10,16.50
16/11/14 04:00,15.40,16.10
16/11/14 05:00,14.90,15.40
16/11/14 06:00,14.60,15.00
16/11/14 07:00,14.30,14.70
16/11/14 08:00,14.20,14.40
16/11/14 09:00,14.10,14.50
16/11/14 10:00,14.50,16.70
16/11/14 11:00,16.50,18.70
16/11/14 12:00,18.60,21.20
16/11/14 13:00,20.40,22.60
16/11/14 14:00,22.00,24.00
16/11/14 15:00,23.30,25.40
16/11/14 16:00,24.60,26.10
16/11/14 17:00,24.90,27.20
16/11/14 18:00,25.70,27.50
16/11/14 19:00,25.70,27.30
16/11/14 20:00,26.00,26.60
16/11/14 21:00,24.80,26.10
16/11/14 22:00,23.30,24.80
16/11/14 23:00,22.30,23.30
17/11/14 00:00,20.40,22.40
17/11/14 01:00,18.70,20.40
17/11/14 02:00,17.20,18.70
17/11/14 03:00,16.60,17.20
17/11/14 04:00,15.70,16.60
17/11/14 05:00,15.70,16.00
17/11/14 06:00,14.90,15.70
17/11/14 07:00,14.30,14.90
17/11/14 08:00,13.80,14.30
17/11/14 09:00,13.60,14.00
17/11/14 10:00,14.00,17.40
17/11/14 11:00,16.90,20.20
17/11/14 12:00,20.00,22.60
17/11/14 13:00,22.10,24.30
17/11/14 14:00,23.60,25.80
17/11/14 15:00,24.90,26.40
17/11/14 16:00,25.40,28.10
17/11/14 17:00,26.10,28.50
17/11/14 18:00,27.00,28.90
17/11/14 19:00,27.00,27.90
17/11/14 20:00,26.90,28.40
17/11/14 21:00,26.00,27.00
17/11/14 22:00,24.40,26.10
17/11/14 23:00,22.10,24.50
18/11/14 00:00,19.90,22.10
18/11/14 01:00,18.40,19.90
18/11/14 02:00,17.80,18.40
18/11/14 03:00,16.90,18.00
18/11/14 04:00,16.20,16.90
18/11/14 05:00,15.40,16.20
18/11/14 06:00,15.40,15.60
18/11/14 07:00,15.20,15.50
18/11/14 08:00,15.20,15.50
18/11/14 09:00,14.60,15.20
18/11/14 10:00,15.10,19.50
18/11/14 11:00,18.70,21.30
18/11/14 12:00,21.20,22.90
18/11/14 13:00,22.50,24.40
18/11/14 14:00,24.00,25.70
18/11/14 15:00,25.50,27.10
18/11/14 16:00,26.40,28.10
