tempo,temperaturamin,temperaturamax,umidade,precipitacao,vento
01/01/15 00:00,23.10,23.90,76.00,0.00,0.90
01/01/15 01:00,23.10,24.20,70.00,0.00,1.10
01/01/15 02:00,22.40,24.30,77.00,0.00,0.00
01/01/15 03:00,22.40,23.60,77.00,0.00,1.20
01/01/15 04:00,22.00,23.30,84.00,0.00,0.00
01/01/15 05:00,21.30,22.20,89.00,0.00,0.00
01/01/15 06:00,20.80,21.30,90.00,0.00,0.50
01/01/15 07:00,20.50,22.10,88.00,0.00,0.10
01/01/15 08:00,20.20,20.50,92.00,0.00,0.40
01/01/15 09:00,19.90,20.50,93.00,0.00,0.20
01/01/15 10:00,20.10,23.70,81.00,0.00,2.20
01/01/15 11:00,23.60,24.90,77.00,0.00,1.80
01/01/15 12:00,24.80,26.60,64.00,0.00,2.50
01/01/15 13:00,26.30,28.10,62.00,0.00,2.70
01/01/15 14:00,27.40,28.90,59.00,0.00,2.80
01/01/15 15:00,28.30,30.20,54.00,0.00,2.00
01/01/15 16:00,22.00,29.70,77.00,1.00,5.00
01/01/15 17:00,21.80,23.90,83.00,0.40,0.30
01/01/15 18:00,24.00,27.90,60.00,0.00,1.20
01/01/15 19:00,27.90,29.60,55.00,0.00,2.50
01/01/15 20:00,28.80,29.70,57.00,0.00,1.30
01/01/15 21:00,21.30,29.50,83.00,3.40,2.50
01/01/15 22:00,21.60,22.60,81.00,0.20,0.80
01/01/15 23:00,21.60,22.40,86.00,0.00,0.90
02/01/15 00:00,21.90,22.50,85.00,0.00,0.20
02/01/15 01:00,21.70,22.60,86.00,0.00,0.70
02/01/15 02:00,21.30,21.90,88.00,0.00,0.20
02/01/15 03:00,20.80,21.50,89.00,0.00,1.00
02/01/15 04:00,20.40,21.30,91.00,0.00,0.30
02/01/15 05:00,20.40,21.00,90.00,0.00,0.00
02/01/15 06:00,20.20,20.60,90.00,0.00,0.50
02/01/15 07:00,20.10,20.70,89.00,0.00,0.30
02/01/15 08:00,19.80,20.30,89.00,0.00,0.00
02/01/15 09:00,19.70,20.00,90.00,0.00,0.60
02/01/15 10:00,20.00,25.10,77.00,0.00,0.00
02/01/15 11:00,25.10,27.00,67.00,0.00,0.80
02/01/15 12:00,26.80,27.90,66.00,0.00,1.70
02/01/15 13:00,27.30,28.50,60.00,0.00,2.10
02/01/15 14:00,28.10,29.70,61.00,0.00,2.20
02/01/15 15:00,27.00,29.70,59.00,0.20,2.10
02/01/15 16:00,28.20,31.40,49.00,0.00,2.50
02/01/15 17:00,30.10,31.80,47.00,0.00,3.50
02/01/15 18:00,30.80,32.20,45.00,0.00,3.20
02/01/15 19:00,30.60,31.90,50.00,0.00,1.90
02/01/15 20:00,29.90,31.60,49.00,0.00,1.30
02/01/15 21:00,29.10,30.30,57.00,0.00,1.50
02/01/15 22:00,28.10,29.10,58.00,0.00,1.20
02/01/15 23:00,26.30,28.10,62.00,0.00,2.00
03/01/15 00:00,24.60,26.30,69.00,0.00,1.40
03/01/15 01:00,23.60,24.70,75.00,0.00,1.10
03/01/15 02:00,23.30,23.90,76.00,0.00,0.80
03/01/15 03:00,22.80,23.50,80.00,0.00,0.00
03/01/15 04:00,22.60,23.10,83.00,0.00,0.10
03/01/15 05:00,22.30,23.20,84.00,0.00,0.10
03/01/15 06:00,21.60,22.50,86.00,0.00,0.40
03/01/15 07:00,21.50,22.30,82.00,0.00,0.20
03/01/15 08:00,20.90,21.90,87.00,0.00,0.00
03/01/15 09:00,20.80,22.00,81.00,0.00,0.40
03/01/15 10:00,22.00,24.60,71.00,0.00,2.00
03/01/15 11:00,24.60,26.50,62.00,0.00,2.30
03/01/15 12:00,26.20,27.60,60.00,0.00,2.00
03/01/15 13:00,27.50,28.80,56.00,0.00,2.30
03/01/15 14:00,28.50,30.00,54.00,0.00,1.20
03/01/15 15:00,28.80,30.30,53.00,0.00,1.70
03/01/15 16:00,29.50,31.20,43.00,0.00,1.50
03/01/15 17:00,30.30,32.50,35.00,0.00,1.30
03/01/15 18:00,30.80,32.60,39.00,0.00,2.20
03/01/15 19:00,24.70,31.70,63.00,0.00,2.40
03/01/15 20:00,24.00,25.80,69.00,0.20,1.80
03/01/15 21:00,24.70,25.80,64.00,0.00,2.10
03/01/15 22:00,22.20,25.80,82.00,0.00,2.10
03/01/15 23:00,21.70,22.20,85.00,0.00,1.00
04/01/15 00:00,21.70,22.00,83.00,0.00,2.20
04/01/15 01:00,19.90,21.70,92.00,7.80,2.00
04/01/15 02:00,20.10,20.40,92.00,0.40,1.70
04/01/15 03:00,20.30,20.50,92.00,0.40,0.60
04/01/15 04:00,20.30,20.50,93.00,0.00,0.50
04/01/15 05:00,20.10,20.40,91.00,0.00,0.50
04/01/15 06:00,20.00,20.30,91.00,0.00,1.60
04/01/15 07:00,19.10,20.20,92.00,0.00,1.20
04/01/15 08:00,19.10,19.60,91.00,0.00,1.40
04/01/15 09:00,19.00,19.60,93.00,0.00,1.80
04/01/15 10:00,19.40,20.70,87.00,0.00,0.60
04/01/15 11:00,20.70,21.50,84.00,0.00,0.70
04/01/15 12:00,21.50,22.60,77.00,0.00,0.70
04/01/15 13:00,22.60,24.00,73.00,0.00,2.10
04/01/15 14:00,23.00,25.10,70.00,0.00,2.80
04/01/15 15:00,24.10,25.70,65.00,0.00,2.90
04/01/15 16:00,24.80,26.40,61.00,0.00,1.80
04/01/15 17:00,26.00,27.20,62.00,0.00,2.00
04/01/15 18:00,26.30,27.90,57.00,0.00,0.60
04/01/15 19:00,27.50,28.30,54.00,0.00,1.60
04/01/15 20:00,27.00,28.40,59.00,0.00,1.90
04/01/15 21:00,24.00,27.00,79.00,1.60,1.70
04/01/15 22:00,23.90,24.30,78.00,0.00,2.00
04/01/15 23:00,23.30,23.90,81.00,0.00,1.10
05/01/15 00:00,23.10,23.40,80.00,0.00,1.10
05/01/15 01:00,22.60,23.30,82.00,0.00,2.30
05/01/15 02:00,22.10,22.60,77.00,0.00,1.80
05/01/15 03:00,21.90,22.20,76.00,0.00,1.20
05/01/15 04:00,21.90,22.10,76.00,0.00,2.00
05/01/15 05:00,22.00,22.20,77.00,0.00,1.50
05/01/15 06:00,21.80,22.10,78.00,0.00,1.10
05/01/15 07:00,20.90,21.80,78.00,0.00,1.60
05/01/15 08:00,20.60,21.30,82.00,0.00,1.90
05/01/15 09:00,20.60,21.40,82.00,0.00,0.90
05/01/15 10:00,20.70,23.10,72.00,0.00,3.20
05/01/15 11:00,22.90,24.50,64.00,0.20,3.80
05/01/15 12:00,24.20,25.40,63.00,0.00,4.50
05/01/15 13:00,25.00,26.50,60.00,0.00,4.00
05/01/15 14:00,25.50,26.40,64.00,0.00,2.70
05/01/15 15:00,26.20,28.20,58.00,0.00,2.60
05/01/15 16:00,27.20,29.20,50.00,0.00,2.70
05/01/15 17:00,28.50,30.60,43.00,0.00,1.10
05/01/15 18:00,29.20,30.80,45.00,0.00,2.80
05/01/15 19:00,22.30,29.20,80.00,3.20,3.80
05/01/15 20:00,20.70,22.30,90.00,0.40,0.20
05/01/15 21:00,20.80,22.00,90.00,1.60,3.70
05/01/15 22:00,19.20,20.80,90.00,0.40,1.50
05/01/15 23:00,19.00,19.40,91.00,0.00,1.50
06/01/15 00:00,19.20,19.40,91.00,0.60,0.60
06/01/15 01:00,19.00,19.40,91.00,0.80,3.30
06/01/15 02:00,19.00,19.50,89.00,0.60,2.00
06/01/15 03:00,19.20,19.70,87.00,0.20,1.50
06/01/15 04:00,19.40,19.70,86.00,0.00,2.50
06/01/15 05:00,19.10,19.50,87.00,0.00,3.20
06/01/15 06:00,19.00,19.30,88.00,0.00,2.60
06/01/15 07:00,19.30,19.90,83.00,0.00,2.00
06/01/15 08:00,19.70,20.00,81.00,0.00,1.60
06/01/15 09:00,19.10,19.80,87.00,0.00,3.20
06/01/15 10:00,19.30,20.00,84.00,0.20,2.60
06/01/15 11:00,20.00,20.60,80.00,0.00,2.90
06/01/15 12:00,20.60,22.10,75.00,0.00,2.60
06/01/15 13:00,22.00,23.20,74.00,0.00,3.10
06/01/15 15:00,23.00,24.80,67.00,0.00,2.90
06/01/15 16:00,24.60,25.20,69.00,0.00,2.80
06/01/15 17:00,24.60,25.20,71.00,0.00,2.00
06/01/15 18:00,24.90,25.50,70.00,0.00,1.90
06/01/15 19:00,25.30,26.00,69.00,0.00,0.80
06/01/15 20:00,25.70,26.20,67.00,0.00,1.30
06/01/15 21:00,25.20,25.70,73.00,0.00,1.20
06/01/15 22:00,24.20,25.20,77.00,0.00,1.40
06/01/15 23:00,23.50,24.20,78.00,0.00,1.60
07/01/15 00:00,23.30,23.70,79.00,0.00,0.60
07/01/15 01:00,22.50,23.30,81.00,0.00,0.50
07/01/15 02:00,21.80,23.00,83.00,0.00,1.00
07/01/15 03:00,21.60,21.90,84.00,0.00,0.80
07/01/15 04:00,20.90,21.70,85.00,0.00,0.60
07/01/15 05:00,20.50,20.90,88.00,0.00,0.50
07/01/15 06:00,19.80,20.60,90.00,0.00,0.90
07/01/15 07:00,19.80,21.40,83.00,0.00,1.90
07/01/15 08:00,21.40,22.10,78.00,0.00,1.80
07/01/15 09:00,21.40,21.70,79.00,0.00,1.70
07/01/15 10:00,21.50,23.20,73.00,0.00,2.40
07/01/15 11:00,23.20,24.50,69.00,0.00,3.80
07/01/15 12:00,24.50,25.80,66.00,0.00,2.60
07/01/15 13:00,25.20,27.50,58.00,0.00,3.40
07/01/15 14:00,26.50,28.30,55.00,0.00,2.30
07/01/15 15:00,27.90,29.80,49.00,0.00,2.40
07/01/15 16:00,28.70,29.90,46.00,0.00,1.80
07/01/15 17:00,29.00,30.00,43.00,0.00,1.30
07/01/15 18:00,23.30,30.00,84.00,3.80,1.60
07/01/15 19:00,23.30,26.90,68.00,0.00,1.10
07/01/15 20:00,22.30,27.90,72.00,0.00,5.40
07/01/15 21:00,22.40,24.20,60.00,0.00,3.30
07/01/15 22:00,23.00,23.40,59.00,0.00,0.60
07/01/15 23:00,22.40,24.30,60.00,0.00,1.10
08/01/15 00:00,21.80,24.20,67.00,0.00,0.90
08/01/15 01:00,21.10,22.30,74.00,0.00,0.50
08/01/15 02:00,21.40,22.10,70.00,0.00,2.00
08/01/15 03:00,21.20,22.20,77.00,0.00,2.00
08/01/15 04:00,21.00,21.20,79.00,0.00,2.50
08/01/15 05:00,21.00,21.20,78.00,0.00,1.30
08/01/15 06:00,20.80,21.00,79.00,0.00,1.00
08/01/15 07:00,20.20,20.80,82.00,0.00,1.40
08/01/15 08:00,19.60,20.20,84.00,0.00,1.10
08/01/15 09:00,19.00,19.90,83.00,0.00,1.70
08/01/15 10:00,19.90,22.00,74.00,0.00,1.50
08/01/15 11:00,22.00,23.80,69.00,0.00,2.90
08/01/15 12:00,23.70,26.10,58.00,0.00,2.70
08/01/15 13:00,25.40,26.40,53.00,0.00,3.60
08/01/15 14:00,26.00,27.40,57.00,0.00,3.50
08/01/15 15:00,26.50,28.30,54.00,0.00,2.30
08/01/15 16:00,27.60,28.90,55.00,0.00,2.20
08/01/15 17:00,28.30,30.50,44.00,0.00,2.00
08/01/15 18:00,29.10,30.90,43.00,0.00,1.40
08/01/15 19:00,29.30,31.10,47.00,0.00,1.90
08/01/15 20:00,28.80,30.00,50.00,0.00,1.10
08/01/15 21:00,23.30,28.90,65.00,3.80,3.30
08/01/15 22:00,19.20,24.30,91.00,12.60,1.50
08/01/15 23:00,19.20,21.40,80.00,3.00,1.70
09/01/15 00:00,20.00,21.30,84.00,0.00,1.20
09/01/15 01:00,20.40,21.50,84.00,0.00,0.70
09/01/15 02:00,19.80,20.90,89.00,0.00,0.00
09/01/15 03:00,19.80,20.60,89.00,0.00,0.00
09/01/15 04:00,19.70,20.00,90.00,0.00,0.10
09/01/15 05:00,19.50,19.90,90.00,0.00,0.00
09/01/15 06:00,19.70,20.20,90.00,0.00,0.10
09/01/15 07:00,19.60,20.00,91.00,0.00,0.40
09/01/15 08:00,19.70,20.10,90.00,0.00,0.00
09/01/15 09:00,19.20,19.90,92.00,0.20,0.70
09/01/15 10:00,19.80,24.20,73.00,0.00,1.60
09/01/15 11:00,24.20,26.00,66.00,0.00,1.40
09/01/15 12:00,25.30,26.80,64.00,0.00,2.30
09/01/15 13:00,26.30,27.50,64.00,0.00,2.40
09/01/15 15:00,27.80,29.20,47.00,0.00,2.30
09/01/15 16:00,28.90,30.10,41.00,0.00,1.90
09/01/15 18:00,29.80,31.40,39.00,0.00,1.80
09/01/15 19:00,30.60,32.30,41.00,0.00,2.30
09/01/15 20:00,30.80,31.50,38.00,0.00,2.40
09/01/15 21:00,29.70,31.10,43.00,0.00,1.20
09/01/15 22:00,27.40,29.70,51.00,0.00,0.80
09/01/15 23:00,26.40,27.90,61.00,0.00,0.20
10/01/15 00:00,25.40,26.60,65.00,0.00,1.00
10/01/15 01:00,24.20,26.40,73.00,0.00,0.00
10/01/15 02:00,23.20,24.20,79.00,0.00,0.40
10/01/15 03:00,23.50,24.00,74.00,0.00,0.70
10/01/15 04:00,23.40,24.60,73.00,0.00,0.70
10/01/15 05:00,22.60,24.60,67.00,0.00,1.40
10/01/15 06:00,23.20,24.60,75.00,0.00,0.20
10/01/15 07:00,21.60,23.30,80.00,0.00,0.00
10/01/15 08:00,21.40,22.10,82.00,0.00,0.30
10/01/15 09:00,21.00,22.10,86.00,0.00,0.20
10/01/15 10:00,21.10,25.40,67.00,0.00,0.80
10/01/15 11:00,25.40,27.30,62.00,0.00,1.60
10/01/15 12:00,26.30,27.70,59.00,0.00,2.30
10/01/15 13:00,27.10,28.80,52.00,0.00,1.70
10/01/15 14:00,28.50,30.10,48.00,0.00,1.40
10/01/15 15:00,29.00,31.00,43.00,0.00,1.90
10/01/15 16:00,30.20,31.20,44.00,0.00,1.10
10/01/15 17:00,30.20,32.10,42.00,0.00,1.60
10/01/15 18:00,30.30,31.50,48.00,0.00,0.50
10/01/15 19:00,30.00,32.50,39.00,0.00,1.80
10/01/15 20:00,30.40,32.80,47.00,0.00,1.70
10/01/15 21:00,21.10,30.60,83.00,11.00,8.20
10/01/15 22:00,21.30,22.80,82.00,13.00,0.40
10/01/15 23:00,21.80,23.20,89.00,0.00,0.30
11/01/15 00:00,22.20,23.60,83.00,0.00,1.10
11/01/15 01:00,22.80,23.60,84.00,0.00,0.00
11/01/15 02:00,22.50,22.90,88.00,0.00,0.20
11/01/15 03:00,22.70,25.10,72.00,0.00,1.70
11/01/15 04:00,23.60,24.40,75.00,0.00,1.80
11/01/15 05:00,22.60,24.90,85.00,0.00,2.40
11/01/15 06:00,22.50,22.90,81.00,0.00,1.60
11/01/15 07:00,22.00,22.70,84.00,0.00,1.30
11/01/15 08:00,22.00,23.10,83.00,0.00,1.20
11/01/15 09:00,22.00,22.90,79.00,0.00,1.70
11/01/15 10:00,22.80,23.20,79.00,0.00,1.20
11/01/15 11:00,23.10,24.90,75.00,0.00,1.50
11/01/15 12:00,24.90,28.50,60.00,0.00,2.30
11/01/15 13:00,27.90,29.00,60.00,0.00,3.30
11/01/15 14:00,28.60,29.70,57.00,0.00,3.20
11/01/15 15:00,29.40,31.00,52.00,0.00,2.80
11/01/15 16:00,30.50,31.90,47.00,0.00,2.40
11/01/15 17:00,30.60,32.80,45.00,0.00,1.10
