tempo,temperaturaminima,temperaturamaxima,umidade,precipitacao,vento
01/01/16 00:00,20.40,20.70,93.00,1.40,0.00
01/01/16 01:00,20.30,20.70,93.00,0.20,0.70
01/01/16 02:00,20.20,20.50,94.00,0.00,0.50
01/01/16 03:00,20.30,20.60,94.00,0.00,1.50
01/01/16 04:00,20.40,20.60,95.00,0.00,1.50
01/01/16 05:00,20.50,20.70,95.00,0.00,1.60
01/01/16 06:00,20.20,20.50,94.00,0.00,0.80
01/01/16 07:00,20.20,20.40,95.00,0.00,1.10
01/01/16 10:00,20.10,20.90,95.00,0.00,1.30
01/01/16 11:00,20.90,21.50,92.00,0.00,1.80
01/01/16 12:00,21.40,23.00,84.00,0.00,1.90
01/01/16 13:00,22.60,23.80,82.00,0.00,1.60
01/01/16 14:00,23.50,25.90,72.00,0.00,1.60
01/01/16 15:00,25.30,27.10,69.00,0.00,1.30
01/01/16 16:00,25.20,27.20,69.00,0.00,3.60
01/01/16 17:00,24.70,26.10,72.00,0.00,2.30
01/01/16 18:00,25.40,28.20,65.00,0.00,2.80
01/01/16 19:00,26.40,28.10,62.00,0.00,2.00
01/01/16 20:00,26.40,27.10,71.00,0.00,1.90
01/01/16 21:00,25.00,26.50,73.00,0.00,1.50
02/01/16 00:00,21.60,22.20,90.00,0.80,1.80
02/01/16 01:00,21.30,21.60,91.00,0.20,1.70
02/01/16 02:00,21.00,21.50,91.00,0.20,0.70
02/01/16 03:00,21.00,21.40,93.00,0.00,0.40
02/01/16 04:00,21.00,21.40,93.00,3.40,0.70
02/01/16 06:00,20.30,20.90,94.00,18.80,0.30
02/01/16 07:00,20.10,20.40,95.00,1.80,0.00
02/01/16 08:00,20.30,20.60,95.00,0.60,0.90
02/01/16 09:00,20.30,20.40,95.00,0.40,1.20
02/01/16 11:00,20.60,21.80,94.00,0.00,0.90
02/01/16 12:00,21.70,23.10,86.00,0.00,1.50
02/01/16 13:00,22.90,24.70,80.00,0.00,1.80
02/01/16 14:00,24.60,26.60,73.00,0.00,2.20
02/01/16 15:00,25.60,27.10,69.00,0.00,3.00
02/01/16 16:00,26.20,28.60,63.00,0.00,2.20
02/01/16 17:00,23.70,28.60,74.00,1.00,1.30
02/01/16 18:00,24.70,26.90,81.00,0.20,2.00
02/01/16 20:00,26.90,27.90,68.00,0.00,1.10
02/01/16 22:00,24.50,26.30,83.00,0.00,1.10
03/01/16 01:00,22.20,22.50,85.00,0.20,2.40
03/01/16 02:00,21.00,22.40,90.00,0.80,1.10
03/01/16 03:00,20.80,21.20,93.00,1.40,1.50
03/01/16 04:00,20.70,21.00,93.00,0.60,0.90
03/01/16 06:00,20.50,20.70,93.00,0.00,0.40
03/01/16 07:00,20.60,20.90,92.00,0.00,0.90
03/01/16 08:00,20.70,21.00,93.00,0.00,0.80
03/01/16 09:00,20.60,20.80,94.00,0.00,0.80
03/01/16 10:00,20.70,21.00,93.00,0.00,1.30
03/01/16 11:00,20.90,22.00,91.00,0.00,1.20
03/01/16 12:00,21.90,24.30,81.00,0.00,0.20
03/01/16 15:00,22.60,26.50,83.00,4.60,1.20
03/01/16 16:00,20.70,26.40,92.00,18.00,1.90
03/01/16 20:00,19.60,20.60,93.00,0.40,0.90
03/01/16 22:00,20.00,21.00,91.00,0.00,1.50
03/01/16 23:00,19.80,20.00,92.00,0.00,0.80
04/01/16 00:00,19.90,20.40,90.00,0.00,1.10
04/01/16 01:00,20.40,20.70,91.00,0.00,0.40
04/01/16 02:00,20.40,20.60,92.00,0.00,0.20
04/01/16 03:00,20.00,20.40,94.00,0.20,1.10
04/01/16 04:00,19.90,20.10,95.00,0.00,1.30
04/01/16 05:00,20.00,20.10,95.00,0.00,0.60
04/01/16 06:00,20.00,20.10,95.00,0.00,1.60
04/01/16 08:00,20.10,20.20,93.00,0.00,0.90
04/01/16 09:00,20.20,20.30,93.00,0.00,0.50
04/01/16 10:00,20.30,20.50,91.00,0.00,2.10
04/01/16 11:00,20.40,20.70,91.00,0.00,2.60
04/01/16 12:00,20.60,23.30,78.00,0.00,4.30
04/01/16 13:00,22.80,23.70,79.00,0.00,3.60
04/01/16 17:00,22.70,25.60,73.00,0.80,1.60
04/01/16 18:00,24.50,26.40,78.00,0.00,2.30
04/01/16 19:00,24.50,27.00,77.00,0.00,3.00
04/01/16 20:00,22.90,24.90,87.00,0.40,2.20
04/01/16 21:00,22.80,23.40,85.00,0.20,1.10
04/01/16 22:00,22.80,23.30,89.00,0.00,0.60
04/01/16 23:00,22.50,22.80,89.00,0.00,1.60
05/01/16 00:00,22.30,22.60,86.00,0.00,1.10
05/01/16 01:00,21.70,22.30,89.00,0.00,1.10
05/01/16 02:00,21.60,21.90,86.00,0.00,2.00
05/01/16 03:00,21.00,21.60,88.00,0.00,1.60
05/01/16 04:00,20.50,21.00,89.00,0.00,1.10
05/01/16 05:00,19.90,20.60,89.00,0.00,1.10
05/01/16 06:00,19.50,19.90,91.00,0.00,1.50
05/01/16 07:00,19.40,19.90,91.00,0.00,1.20
05/01/16 08:00,19.90,20.20,88.00,0.00,2.60
05/01/16 09:00,19.80,20.10,88.00,0.00,2.10
05/01/16 10:00,19.80,21.30,82.00,0.00,3.20
05/01/16 11:00,21.10,22.00,75.00,0.00,4.80
05/01/16 12:00,21.90,23.60,69.00,0.00,4.60
05/01/16 13:00,23.30,24.70,64.00,0.00,4.60
05/01/16 14:00,24.30,26.10,61.00,0.00,3.60
05/01/16 15:00,25.40,26.90,60.00,0.00,3.40
05/01/16 16:00,26.20,27.50,55.00,0.00,3.90
05/01/16 17:00,26.90,28.50,52.00,0.00,2.70
05/01/16 18:00,27.50,28.80,51.00,0.00,1.90
05/01/16 19:00,27.30,29.10,50.00,0.00,1.80
05/01/16 20:00,28.20,29.00,49.00,0.00,2.10
05/01/16 21:00,27.50,28.70,55.00,0.00,2.80
05/01/16 22:00,25.90,27.50,62.00,0.00,1.30
05/01/16 23:00,24.10,25.90,70.00,0.00,1.10
06/01/16 00:00,23.30,24.20,71.00,0.00,1.40
06/01/16 01:00,22.60,23.70,77.00,0.00,0.80
06/01/16 02:00,22.30,22.80,75.00,0.00,1.60
06/01/16 03:00,21.10,23.00,80.00,0.00,0.40
06/01/16 04:00,20.60,21.70,83.00,0.00,1.10
06/01/16 05:00,20.00,20.60,88.00,0.00,0.50
06/01/16 06:00,19.70,20.10,89.00,0.00,1.10
06/01/16 07:00,19.10,20.60,82.00,0.00,1.70
06/01/16 08:00,20.20,20.70,79.00,0.00,3.00
06/01/16 09:00,19.90,20.30,78.00,0.00,3.10
06/01/16 10:00,20.30,21.10,72.00,0.00,3.30
06/01/16 11:00,20.80,22.10,67.00,0.00,4.30
06/01/16 12:00,22.10,24.30,63.00,0.00,3.90
06/01/16 13:00,23.80,25.50,62.00,0.00,3.30
06/01/16 14:00,24.90,26.60,58.00,0.00,3.20
06/01/16 15:00,26.60,28.00,51.00,0.00,3.30
06/01/16 16:00,27.30,29.10,52.00,0.00,2.60
06/01/16 17:00,27.50,29.70,47.00,0.00,1.90
06/01/16 18:00,28.00,29.80,39.00,0.00,1.80
06/01/16 19:00,28.60,30.40,44.00,0.00,1.80
06/01/16 20:00,28.70,30.00,43.00,0.00,2.70
06/01/16 21:00,27.90,28.70,45.00,0.00,2.20
06/01/16 22:00,26.20,28.00,54.00,0.00,0.90
06/01/16 23:00,23.90,26.20,64.00,0.00,0.60
07/01/16 00:00,22.70,24.00,68.00,0.00,0.70
07/01/16 01:00,21.40,22.90,73.00,0.00,0.80
07/01/16 02:00,20.70,21.60,76.00,0.00,0.30
07/01/16 03:00,20.60,21.20,73.00,0.00,1.40
07/01/16 04:00,19.80,20.80,76.00,0.00,1.10
07/01/16 05:00,20.20,20.60,77.00,0.00,1.40
07/01/16 06:00,19.20,20.50,83.00,0.00,0.50
07/01/16 07:00,18.90,20.40,84.00,0.00,0.30
07/01/16 08:00,18.90,19.50,87.00,0.00,0.80
07/01/16 09:00,18.40,19.00,90.00,0.00,0.30
07/01/16 10:00,18.50,23.90,71.00,0.00,0.00
07/01/16 11:00,23.60,25.70,68.00,0.00,0.40
07/01/16 12:00,24.40,26.80,62.00,0.00,0.40
07/01/16 13:00,25.90,27.10,62.00,0.00,1.30
07/01/16 14:00,26.60,28.00,57.00,0.00,1.90
07/01/16 15:00,26.90,29.50,53.00,0.00,1.00
07/01/16 16:00,27.90,30.70,47.00,0.00,1.90
07/01/16 17:00,29.60,30.90,43.00,0.00,1.30
07/01/16 18:00,29.90,31.40,45.00,0.00,1.70
07/01/16 19:00,29.40,30.80,48.00,0.00,0.20
07/01/16 20:00,29.10,29.70,46.00,0.00,1.10
07/01/16 21:00,28.60,29.20,49.00,0.00,1.10
07/01/16 22:00,27.80,28.80,52.00,0.00,0.60
07/01/16 23:00,25.50,27.80,62.00,0.00,0.60
08/01/16 00:00,24.30,25.50,66.00,0.00,0.90
08/01/16 01:00,23.20,24.40,69.00,0.00,0.70
08/01/16 02:00,22.70,23.80,70.00,0.00,0.10
08/01/16 03:00,21.10,22.90,74.00,0.00,0.90
08/01/16 04:00,21.40,22.30,75.00,0.00,1.20
08/01/16 05:00,20.30,22.00,85.00,0.00,0.30
08/01/16 06:00,20.50,21.30,87.00,0.00,0.00
08/01/16 07:00,20.40,20.80,89.00,0.00,0.00
08/01/16 10:00,21.70,23.60,79.00,0.00,0.70
08/01/16 11:00,23.60,26.70,65.00,0.00,1.80
08/01/16 12:00,25.90,27.40,62.00,0.00,2.00
08/01/16 13:00,26.90,28.70,58.00,0.00,2.60
08/01/16 14:00,27.60,29.00,60.00,0.00,3.00
08/01/16 15:00,27.40,29.00,61.00,0.00,2.60
08/01/16 16:00,24.90,28.60,64.00,0.20,2.40
08/01/16 17:00,27.00,29.00,65.00,0.00,3.80
08/01/16 18:00,25.50,27.30,66.00,0.00,1.70
08/01/16 19:00,26.10,26.60,70.00,0.00,2.60
08/01/16 20:00,25.60,26.60,67.00,0.00,3.30
08/01/16 21:00,23.20,25.80,80.00,0.20,2.00
08/01/16 22:00,23.10,23.80,79.00,0.00,2.10
08/01/16 23:00,23.20,23.60,82.00,0.00,1.90
09/01/16 00:00,23.10,23.60,84.00,0.00,2.50
09/01/16 01:00,22.90,23.30,87.00,0.00,2.60
09/01/16 02:00,22.50,23.00,88.00,0.40,2.50
09/01/16 03:00,22.00,22.50,90.00,0.60,1.80
09/01/16 04:00,21.90,22.00,90.00,0.00,2.10
09/01/16 05:00,21.90,22.00,89.00,0.00,0.80
09/01/16 06:00,21.80,22.00,89.00,0.00,0.90
09/01/16 07:00,21.80,22.00,87.00,0.00,1.30
09/01/16 08:00,22.00,22.10,86.00,0.00,1.90
09/01/16 09:00,21.20,22.10,92.00,0.60,2.80
09/01/16 10:00,21.20,21.60,91.00,0.00,2.30
09/01/16 11:00,21.60,22.00,89.00,0.00,3.70
09/01/16 12:00,21.90,23.30,85.00,0.00,2.90
09/01/16 13:00,23.00,24.80,79.00,0.00,2.60
09/01/16 14:00,22.10,25.70,92.00,8.00,1.50
09/01/16 15:00,22.00,24.50,90.00,2.80,3.60
09/01/16 16:00,22.00,22.90,91.00,2.40,2.00
09/01/16 17:00,22.20,23.80,89.00,0.00,1.20
09/01/16 18:00,23.40,23.80,86.00,0.00,1.00
09/01/16 19:00,23.50,24.20,83.00,0.00,1.50
09/01/16 20:00,24.10,24.60,81.00,0.00,1.00
09/01/16 21:00,20.70,24.40,93.00,12.80,2.00
09/01/16 22:00,21.10,21.40,93.00,0.40,1.40
09/01/16 23:00,21.30,21.50,93.00,0.00,1.30
10/01/16 00:00,21.40,21.70,92.00,0.00,1.20
10/01/16 01:00,21.20,21.50,93.00,0.80,2.00
10/01/16 02:00,21.20,21.50,94.00,4.40,2.30
10/01/16 03:00,21.20,21.40,93.00,0.00,2.00
10/01/16 04:00,21.30,21.70,93.00,0.80,2.00
10/01/16 05:00,20.70,21.30,94.00,0.80,2.90
10/01/16 06:00,20.30,20.80,94.00,0.40,1.90
10/01/16 07:00,20.30,20.40,94.00,0.20,2.40
10/01/16 08:00,20.40,20.60,95.00,0.60,3.00
10/01/16 09:00,20.60,20.80,94.00,0.60,3.50
10/01/16 10:00,20.70,20.90,94.00,0.20,2.50
10/01/16 11:00,20.80,21.10,94.00,0.20,2.80
10/01/16 12:00,21.00,21.80,92.00,0.00,3.10
10/01/16 13:00,21.80,23.60,86.00,0.00,2.90
10/01/16 14:00,22.50,23.50,91.00,0.60,1.90
10/01/16 15:00,21.90,24.00,91.00,4.00,3.20
10/01/16 16:00,22.70,24.60,88.00,1.00,3.00
10/01/16 17:00,23.70,26.30,77.00,0.20,3.60
10/01/16 18:00,21.00,25.50,92.00,4.40,4.30
10/01/16 19:00,21.50,23.90,81.00,0.00,3.50
10/01/16 20:00,23.80,25.50,78.00,0.00,3.10
10/01/16 21:00,20.60,25.80,94.00,8.60,3.00
10/01/16 22:00,21.10,21.70,92.00,0.20,1.90
10/01/16 23:00,21.50,21.80,91.00,0.40,2.30
11/01/16 00:00,21.60,21.90,93.00,0.00,2.40
11/01/16 01:00,21.30,21.80,93.00,0.00,2.30
11/01/16 02:00,21.20,21.40,91.00,0.00,3.10
11/01/16 03:00,20.90,21.30,91.00,0.00,2.00
11/01/16 04:00,20.70,20.90,93.00,0.20,2.00
11/01/16 05:00,20.50,20.70,94.00,0.40,2.60
11/01/16 06:00,19.80,20.60,94.00,3.80,3.60
11/01/16 07:00,19.80,20.40,95.00,2.40,3.70
11/01/16 08:00,19.70,20.40,94.00,1.40,4.10
11/01/16 09:00,19.60,19.80,94.00,0.80,2.70
11/01/16 10:00,19.80,20.20,94.00,0.00,1.80
11/01/16 11:00,20.10,21.00,94.00,0.00,3.00
11/01/16 12:00,20.90,21.20,92.00,0.20,3.20
11/01/16 13:00,20.90,21.10,94.00,2.40,3.30
11/01/16 14:00,20.90,21.30,94.00,2.80,3.90
11/01/16 15:00,21.00,21.70,92.00,0.40,2.50
11/01/16 16:00,21.60,22.10,90.00,0.20,2.90
11/01/16 17:00,21.80,22.10,92.00,0.60,2.20
11/01/16 18:00,21.70,22.50,91.00,0.20,1.50
11/01/16 19:00,22.30,22.90,90.00,0.40,1.50
11/01/16 20:00,22.50,22.90,92.00,0.80,1.50
11/01/16 21:00,22.00,22.70,93.00,1.20,1.70
11/01/16 22:00,21.80,22.10,93.00,0.00,1.00
11/01/16 23:00,21.60,21.80,94.00,0.00,1.00
12/01/16 00:00,21.60,21.80,94.00,0.00,1.70
12/01/16 01:00,21.50,21.80,94.00,0.80,2.60
